strain_stim,jnl,frame,time_s,fluor,dff
odr7p_Bcary_5percent,JNL_10off_120on_50off,207,20.611,24714999.999999996,-7.4014763262305046
odr7p_Bcary_5percent,JNL_10off_120on_50off,208,20.711,24602100,-7.824473426079513
odr7p_Bcary_5percent,JNL_10off_120on_50off,209,20.811,24607199.999999996,-7.805365496856941
odr7p_Bcary_5percent,JNL_10off_120on_50off,210,20.911,24588800,-7.874303908169787
odr7p_Bcary_5percent,JNL_10off_120on_50off,211,21.011,24771600,-7.189415778387668
odr7p_Bcary_5percent,JNL_10off_120on_50off,212,21.111,24352000,-8.761511288543998
odr7p_Bcary_5percent,JNL_10off_120on_50off,213,21.211,24684300,-7.516498566844884
odr7p_Bcary_5percent,JNL_10off_120on_50off,214,21.311,24563000,-7.970967550119343
odr7p_Bcary_5percent,JNL_10off_120on_50off,215,21.411,24615400,-7.774642943989238
odr7p_Bcary_5percent,JNL_10off_120on_50off,216,21.511,24645700,-7.661119364490341
odr7p_Bcary_5percent,JNL_10off_120on_50off,217,21.611,24366000,-8.709058149501605
odr7p_Bcary_5percent,JNL_10off_120on_50off,218,21.711,24268000,-9.076230122798364
odr7p_Bcary_5percent,JNL_10off_120on_50off,219,21.811,24485100.000000004,-8.262831802362365
odr7p_Bcary_5percent,JNL_10off_120on_50off,220,21.911,24307300,-8.928986668200785
odr7p_Bcary_5percent,JNL_10off_120on_50off,221,22.011,24582500,-7.897907820738864
odr7p_Bcary_5percent,JNL_10off_120on_50off,222,22.111,24366600,-8.706810157828357
odr7p_Bcary_5percent,JNL_10off_120on_50off,223,22.211,24108100,-9.675319903718279
odr7p_Bcary_5percent,JNL_10off_120on_50off,224,22.311,23888200,-10.499208851962743
odr7p_Bcary_5percent,JNL_10off_120on_50off,225,22.411,23565400,-11.708628372168803
odr7p_Bcary_5percent,JNL_10off_120on_50off,226,22.511,24109800,-9.668950593977419
odr7p_Bcary_5percent,JNL_10off_120on_50off,227,22.611,23842000,-10.672304210802645
odr7p_Bcary_5percent,JNL_10off_120on_50off,228,22.711,23497600,-11.962651431245543
odr7p_Bcary_5percent,JNL_10off_120on_50off,229,22.811,23748800,-11.021492250713441
odr7p_Bcary_5percent,JNL_10off_120on_50off,230,22.911,23702899.999999996,-11.193463613716732
odr7p_Bcary_5percent,JNL_10off_120on_50off,231,23.011,23648500,-11.397281525424308
odr7p_Bcary_5percent,JNL_10off_120on_50off,232,23.111,23751500,-11.011376288183836
odr7p_Bcary_5percent,JNL_10off_120on_50off,233,23.211,23502200.000000004,-11.945416828417313
odr7p_Bcary_5percent,JNL_10off_120on_50off,234,23.311,23159100,-13.23089340023486
odr7p_Bcary_5percent,JNL_10off_120on_50off,235,23.411,23132900,-13.329055703299911
odr7p_Bcary_5percent,JNL_10off_120on_50off,236,23.511,23399800,-12.329074073984552
odr7p_Bcary_5percent,JNL_10off_120on_50off,237,23.611,23235100.000000004,-12.946147788290421
odr7p_Bcary_5percent,JNL_10off_120on_50off,238,23.711,23202200,-13.069412665040062
odr7p_Bcary_5percent,JNL_10off_120on_50off,239,23.811,23313900,-12.65091154853753
odr7p_Bcary_5percent,JNL_10off_120on_50off,240,23.911,23191600,-13.10912718460073
odr7p_Bcary_5percent,JNL_10off_120on_50off,241,24.011,22992700,-13.854336424281602
odr7p_Bcary_5percent,JNL_10off_120on_50off,242,24.111,23231600,-12.959261073051032
odr7p_Bcary_5percent,JNL_10off_120on_50off,243,24.211,22996000,-13.841972470078753
odr7p_Bcary_5percent,JNL_10off_120on_50off,244,24.311,23028700,-13.719456923886874
odr7p_Bcary_5percent,JNL_10off_120on_50off,245,24.411,23064600,-13.584952088771022
odr7p_Bcary_5percent,JNL_10off_120on_50off,246,24.511,22963500,-13.963738685712881
odr7p_Bcary_5percent,JNL_10off_120on_50off,247,24.611,23088400,-13.49578175239895
odr7p_Bcary_5percent,JNL_10off_120on_50off,248,24.711,23006400,-13.80300728107583
odr7p_Bcary_5percent,JNL_10off_120on_50off,249,24.811,22833300,-14.451552878807147
odr7p_Bcary_5percent,JNL_10off_120on_50off,250,24.911,22625099.999999996,-15.231605989423338
odr7p_Bcary_5percent,JNL_10off_120on_50off,251,25.011,22862200,-14.343274613212492
odr7p_Bcary_5percent,JNL_10off_120on_50off,252,25.111,22626100,-15.227859336634584
odr7p_Bcary_5percent,JNL_10off_120on_50off,253,25.211,22611000,-15.284433793744592
