strain_stim,jnl,frame,time_ms,fluor
odr7p_NH4Br,JNL_10off_120on_50off,238,23711,191405000
odr7p_NH4Br,JNL_10off_120on_50off,239,23811,191182000
odr7p_NH4Br,JNL_10off_120on_50off,240,23911,191379000
odr7p_NH4Br,JNL_10off_120on_50off,241,24011,190640000
odr7p_NH4Br,JNL_10off_120on_50off,242,24111,191376000
odr7p_NH4Br,JNL_10off_120on_50off,243,24211,191065000
odr7p_NH4Br,JNL_10off_120on_50off,244,24311,191150000
odr7p_NH4Br,JNL_10off_120on_50off,245,24411,190757000
odr7p_NH4Br,JNL_10off_120on_50off,246,24511,190565000
odr7p_NH4Br,JNL_10off_120on_50off,247,24611,190748000
odr7p_NH4Br,JNL_10off_120on_50off,248,24711,189841000
odr7p_NH4Br,JNL_10off_120on_50off,249,24811,190335000
odr7p_NH4Br,JNL_10off_120on_50off,250,24911,190111000
odr7p_NH4Br,JNL_10off_120on_50off,251,25011,190464000
odr7p_NH4Br,JNL_10off_120on_50off,252,25111,190579000
odr7p_NH4Br,JNL_10off_120on_50off,253,25211,190349000
odr7p_NH4Br,JNL_10off_120on_50off,254,25311,190378000
odr7p_NH4Br,JNL_10off_120on_50off,255,25411,190332000
odr7p_NH4Br,JNL_10off_120on_50off,256,25511,190097000
odr7p_NH4Br,JNL_10off_120on_50off,257,25611,190319000
odr7p_NH4Br,JNL_10off_120on_50off,258,25711,189792000
odr7p_NH4Br,JNL_10off_120on_50off,259,25811,189857000
odr7p_NH4Br,JNL_10off_120on_50off,260,25911,189862000
odr7p_NH4Br,JNL_10off_120on_50off,261,26011,189875000
odr7p_NH4Br,JNL_10off_120on_50off,262,26111,189859000
odr7p_NH4Br,JNL_10off_120on_50off,263,26211,189340000
odr7p_NH4Br,JNL_10off_120on_50off,264,26311,189496000
odr7p_NH4Br,JNL_10off_120on_50off,265,26411,189270000
odr7p_NH4Br,JNL_10off_120on_50off,266,26511,189576000
odr7p_NH4Br,JNL_10off_120on_50off,267,26611,189403000
odr7p_NH4Br,JNL_10off_120on_50off,268,26711,188726000
odr7p_NH4Br,JNL_10off_120on_50off,269,26811,189232000
odr7p_NH4Br,JNL_10off_120on_50off,270,26911,189074000
odr7p_NH4Br,JNL_10off_120on_50off,271,27011,188546000
odr7p_NH4Br,JNL_10off_120on_50off,272,27111,189510000
odr7p_NH4Br,JNL_10off_120on_50off,273,27211,189064000
odr7p_NH4Br,JNL_10off_120on_50off,274,27311,188944000
odr7p_NH4Br,JNL_10off_120on_50off,275,27411,188642000
odr7p_NH4Br,JNL_10off_120on_50off,276,27511,188908000
