strain_stim,jnl,frame,time_ms,fluor
odr7p_Bcary_5percent,JNL_10off_120on_50off,228,22711,76966700
odr7p_Bcary_5percent,JNL_10off_120on_50off,229,22811,77053900
odr7p_Bcary_5percent,JNL_10off_120on_50off,230,22911,76982500
odr7p_Bcary_5percent,JNL_10off_120on_50off,231,23011,77283100
odr7p_Bcary_5percent,JNL_10off_120on_50off,232,23111,77160700
odr7p_Bcary_5percent,JNL_10off_120on_50off,233,23211,77103900
odr7p_Bcary_5percent,JNL_10off_120on_50off,234,23311,77167300
odr7p_Bcary_5percent,JNL_10off_120on_50off,235,23411,77105000
odr7p_Bcary_5percent,JNL_10off_120on_50off,236,23511,76791800
odr7p_Bcary_5percent,JNL_10off_120on_50off,237,23611,76748500
odr7p_Bcary_5percent,JNL_10off_120on_50off,238,23711,76936900
odr7p_Bcary_5percent,JNL_10off_120on_50off,239,23811,77151000
odr7p_Bcary_5percent,JNL_10off_120on_50off,240,23911,76851300
odr7p_Bcary_5percent,JNL_10off_120on_50off,241,24011,76638400
odr7p_Bcary_5percent,JNL_10off_120on_50off,242,24111,76899500
odr7p_Bcary_5percent,JNL_10off_120on_50off,243,24211,76788000
odr7p_Bcary_5percent,JNL_10off_120on_50off,244,24311,76765500
odr7p_Bcary_5percent,JNL_10off_120on_50off,245,24411,76776000
odr7p_Bcary_5percent,JNL_10off_120on_50off,246,24511,76760900
odr7p_Bcary_5percent,JNL_10off_120on_50off,247,24611,76783700
odr7p_Bcary_5percent,JNL_10off_120on_50off,248,24711,NA
odr7p_Bcary_5percent,JNL_10off_120on_50off,249,24811,77154300
odr7p_Bcary_5percent,JNL_10off_120on_50off,250,24911,76930600
odr7p_Bcary_5percent,JNL_10off_120on_50off,251,25011,76825700
odr7p_Bcary_5percent,JNL_10off_120on_50off,252,25111,76972200
odr7p_Bcary_5percent,JNL_10off_120on_50off,253,25211,76681900
odr7p_Bcary_5percent,JNL_10off_120on_50off,254,25311,76901000
odr7p_Bcary_5percent,JNL_10off_120on_50off,255,25411,76745600
odr7p_Bcary_5percent,JNL_10off_120on_50off,256,25511,76822600
odr7p_Bcary_5percent,JNL_10off_120on_50off,257,25611,76511800
odr7p_Bcary_5percent,JNL_10off_120on_50off,258,25711,76531300
odr7p_Bcary_5percent,JNL_10off_120on_50off,259,25811,76559000
odr7p_Bcary_5percent,JNL_10off_120on_50off,260,25911,76403000
odr7p_Bcary_5percent,JNL_10off_120on_50off,261,26011,76788000
odr7p_Bcary_5percent,JNL_10off_120on_50off,262,26111,76646300
odr7p_Bcary_5percent,JNL_10off_120on_50off,263,26211,76442900
odr7p_Bcary_5percent,JNL_10off_120on_50off,264,26311,76551200
odr7p_Bcary_5percent,JNL_10off_120on_50off,265,26411,76451200
odr7p_Bcary_5percent,JNL_10off_120on_50off,266,26511,76079400
odr7p_Bcary_5percent,JNL_10off_120on_50off,267,26611,NA
odr7p_Bcary_5percent,JNL_10off_120on_50off,268,26711,76566600
odr7p_Bcary_5percent,JNL_10off_120on_50off,269,26811,76225400
odr7p_Bcary_5percent,JNL_10off_120on_50off,270,26911,76370900
odr7p_Bcary_5percent,JNL_10off_120on_50off,271,27011,76215700
odr7p_Bcary_5percent,JNL_10off_120on_50off,272,27111,76475400
odr7p_Bcary_5percent,JNL_10off_120on_50off,273,27211,76431300
odr7p_Bcary_5percent,JNL_10off_120on_50off,274,27311,76334100
odr7p_Bcary_5percent,JNL_10off_120on_50off,275,27411,76298300
odr7p_Bcary_5percent,JNL_10off_120on_50off,276,27511,76405300
odr7p_Bcary_5percent,JNL_10off_120on_50off,277,27611,76117400
odr7p_Bcary_5percent,JNL_10off_120on_50off,278,27711,76142000
odr7p_Bcary_5percent,JNL_10off_120on_50off,279,27811,76322800
odr7p_Bcary_5percent,JNL_10off_120on_50off,280,27911,76061300
odr7p_Bcary_5percent,JNL_10off_120on_50off,281,28011,75873700
odr7p_Bcary_5percent,JNL_10off_120on_50off,282,28111,76197300
odr7p_Bcary_5percent,JNL_10off_120on_50off,283,28211,75625000
odr7p_Bcary_5percent,JNL_10off_120on_50off,284,28311,75992700
odr7p_Bcary_5percent,JNL_10off_120on_50off,285,28411,76435500
odr7p_Bcary_5percent,JNL_10off_120on_50off,286,28511,76053200
odr7p_Bcary_5percent,JNL_10off_120on_50off,287,28611,76055400
odr7p_Bcary_5percent,JNL_10off_120on_50off,288,28711,75834400
odr7p_Bcary_5percent,JNL_10off_120on_50off,289,28811,75927400
odr7p_Bcary_5percent,JNL_10off_120on_50off,290,28911,75466800
odr7p_Bcary_5percent,JNL_10off_120on_50off,291,29011,75374600
odr7p_Bcary_5percent,JNL_10off_120on_50off,292,29111,75700700
odr7p_Bcary_5percent,JNL_10off_120on_50off,293,29211,75620500
odr7p_Bcary_5percent,JNL_10off_120on_50off,294,29311,75336200
odr7p_Bcary_5percent,JNL_10off_120on_50off,295,29411,75524100
odr7p_Bcary_5percent,JNL_10off_120on_50off,296,29511,75395000
odr7p_Bcary_5percent,JNL_10off_120on_50off,297,29611,75487800
odr7p_Bcary_5percent,JNL_10off_120on_50off,298,29711,75392200
odr7p_Bcary_5percent,JNL_10off_120on_50off,299,29811,75973600
odr7p_Bcary_5percent,JNL_10off_120on_50off,300,29911,75576800
odr7p_Bcary_5percent,JNL_10off_120on_50off,301,30011,75380800
odr7p_Bcary_5percent,JNL_10off_120on_50off,302,30111,75043600
odr7p_Bcary_5percent,JNL_10off_120on_50off,303,30211,75163100
odr7p_Bcary_5percent,JNL_10off_120on_50off,304,30311,74961100
odr7p_Bcary_5percent,JNL_10off_120on_50off,305,30411,74823900
odr7p_Bcary_5percent,JNL_10off_120on_50off,306,30511,75358000
odr7p_Bcary_5percent,JNL_10off_120on_50off,307,30611,75177900
odr7p_Bcary_5percent,JNL_10off_120on_50off,308,30711,75157500
odr7p_Bcary_5percent,JNL_10off_120on_50off,309,30811,74980400
odr7p_Bcary_5percent,JNL_10off_120on_50off,310,30911,75170800
odr7p_Bcary_5percent,JNL_10off_120on_50off,311,31011,75101000
odr7p_Bcary_5percent,JNL_10off_120on_50off,312,31111,74727100
odr7p_Bcary_5percent,JNL_10off_120on_50off,313,31211,74455600
